"[-0.027379363775253296, -0.5989705324172974, -0.3535156846046448]","[-0.021669398993253708, -0.6381368637084961, -0.33628493547439575]","[-0.02128656767308712, -0.6384225487709045, -0.3356315791606903]","[-0.02127743512392044, -0.6388113498687744, -0.3359530568122864]","[-0.05454794317483902, -0.6317477822303772, -0.33813023567199707]","[-0.054147832095623016, -0.632573127746582, -0.3389859199523926]","[-0.054376035928726196, -0.6337583065032959, -0.3382683992385864]","[0.024969352409243584, -0.629859983921051, -0.22153711318969727]","[-0.12219061702489853, -0.6129905581474304, -0.23923075199127197]","[-0.005329563282430172, -0.5765266418457031, -0.3133369982242584]","[-0.04799772799015045, -0.5699228048324585, -0.3173930048942566]","[0.1299256831407547, -0.44300317764282227, -0.12766218185424805]","[-0.18739531934261322, -0.42705485224723816, -0.16930580139160156]","[0.14930444955825806, -0.19783268868923187, -0.08146500587463379]","[-0.1997070610523224, -0.17095941305160522, -0.11988736689090729]","[0.20015008747577667, 0.024175064638257027, -0.1637270301580429]","[-0.2106911540031433, 0.06591568142175674, -0.1930617392063141]","[0.21568027138710022, 0.10147930681705475, -0.18437758088111877]","[-0.20944057404994965, 0.1458568572998047, -0.21532759070396423]","[0.20304955542087555, 0.11089573055505753, -0.22448459267616272]","[-0.19603638350963593, 0.1456630527973175, -0.24787956476211548]","[0.19406907260417938, 0.043321844190359116, -0.17896394431591034]","[-0.1967574805021286, 0.08353900164365768, -0.2086687684059143]","[0.11331632733345032, 0.00022784178145229816, 0.009236729703843594]","[-0.1137276366353035, -0.000931726535782218, -0.007937181740999222]","[0.05390007048845291, 0.42268049716949463, 0.002598905237391591]","[-0.07430239766836166, 0.39962801337242126, -0.00896518025547266]","[0.06721527129411697, 0.7624399662017822, 0.1550969034433365]","[-0.03697935491800308, 0.7490975856781006, 0.1380176991224289]","[0.07092879712581635, 0.8053885102272034, 0.15868604183197021]","[-0.03144633769989014, 0.7940528392791748, 0.14241810142993927]","[0.07457330822944641, 0.8761332631111145, 0.020362012088298798]","[-0.014504918828606606, 0.8638709783554077, -0.0005673891864717007]"
"[-0.02689637802541256, -0.593631386756897, -0.37020477652549744]","[-0.02162969671189785, -0.6322926878929138, -0.3527018427848816]","[-0.021252254024147987, -0.6326241493225098, -0.3520437479019165]","[-0.021245010197162628, -0.6330552697181702, -0.3521401882171631]","[-0.0544675849378109, -0.6263503432273865, -0.35633864998817444]","[-0.05407176539301872, -0.6272614002227783, -0.3571174740791321]","[-0.05430912598967552, -0.6285032033920288, -0.35631445050239563]","[0.02316589280962944, -0.6204184293746948, -0.23418353497982025]","[-0.12293064594268799, -0.605756938457489, -0.2598274052143097]","[-0.005234656855463982, -0.5697590112686157, -0.3280740976333618]","[-0.04781883582472801, -0.5640062689781189, -0.3344089984893799]","[0.12291426211595535, -0.4411810636520386, -0.13309313356876373]","[-0.18633794784545898, -0.4228343069553375, -0.17927534878253937]","[0.13638277351856232, -0.1978086531162262, -0.08137264847755432]","[-0.20083320140838623, -0.16962729394435883, -0.12324875593185425]","[0.17019781470298767, 0.02405809611082077, -0.16337443888187408]","[-0.21914581954479218, 0.06352542340755463, -0.196216881275177]","[0.17762376368045807, 0.10147764533758163, -0.18303769826889038]","[-0.219863623380661, 0.1401151567697525, -0.22002318501472473]","[0.16859792172908783, 0.11086109280586243, -0.22303897142410278]","[-0.2106592208147049, 0.13961264491081238, -0.2511810064315796]","[0.16370843350887299, 0.04310405254364014, -0.17865321040153503]","[-0.20753321051597595, 0.08018729090690613, -0.21130681037902832]","[0.11283804476261139, 0.000315557379508391, 0.009245892986655235]","[-0.11325452476739883, -0.0010256668319925666, -0.007939096540212631]","[0.05232655629515648, 0.42584559321403503, -0.002436778275296092]","[-0.07815656065940857, 0.40111857652664185, -0.010913226753473282]","[0.062308210879564285, 0.7767626643180847, 0.11862809211015701]","[-0.042766816914081573, 0.7594238519668579, 0.1113186851143837]","[0.06579005718231201, 0.8204702734947205, 0.11987939476966858]","[-0.03714119270443916, 0.8053566217422485, 0.11287999153137207]","[0.07144578546285629, 0.8867851495742798, -0.014541356824338436]","[-0.025758156552910805, 0.8767990469932556, -0.027159562334418297]"
"[-0.02683153562247753, -0.5888500809669495, -0.3878152370452881]","[-0.021629491820931435, -0.6273176670074463, -0.37041381001472473]","[-0.02125379629433155, -0.6276895999908447, -0.3697632849216461]","[-0.02124716341495514, -0.6281412243843079, -0.36977145075798035]","[-0.054450951516628265, -0.6218231320381165, -0.3740543723106384]","[-0.05405839905142784, -0.6227938532829285, -0.37480711936950684]","[-0.05429684743285179, -0.624071478843689, -0.37392911314964294]","[0.02239972911775112, -0.6134262681007385, -0.25142645835876465]","[-0.12315160036087036, -0.6006999611854553, -0.27719846367836]","[-0.005261208862066269, -0.564028799533844, -0.34545907378196716]","[-0.04781665652990341, -0.5589781403541565, -0.3518628776073456]","[0.11919688433408737, -0.437503457069397, -0.14889615774154663]","[-0.1859956979751587, -0.41837114095687866, -0.18952827155590057]","[0.13479016721248627, -0.19614720344543457, -0.09167197346687317]","[-0.201120063662529, -0.1670263409614563, -0.1291501671075821]","[0.17187798023223877, 0.027127046138048172, -0.17309027910232544]","[-0.2255423218011856, 0.06315687298774719, -0.20198765397071838]","[0.18090856075286865, 0.10615479946136475, -0.19159847497940063]","[-0.2283077985048294, 0.1388443559408188, -0.2265724241733551]","[0.17141155898571014, 0.1159662976861, -0.23138268291950226]","[-0.22065481543540955, 0.13851362466812134, -0.25898247957229614]","[0.16547419130802155, 0.04650755226612091, -0.18845613300800323]","[-0.21496431529521942, 0.0796738937497139, -0.217493936419487]","[0.11247505992650986, 0.00034677638905122876, 0.008963573724031448]","[-0.1128997877240181, -0.0010583162074908614, -0.007632784079760313]","[0.051977355033159256, 0.42736029624938965, -0.0031090211123228073]","[-0.07959109544754028, 0.40264788269996643, -0.010639053769409657]","[0.060665376484394073, 0.7844442129135132, 0.10939851403236389]","[-0.04629770666360855, 0.766348123550415, 0.10835877805948257]","[0.06408393383026123, 0.8286828994750977, 0.11001940816640854]","[-0.04088417440652847, 0.8128368854522705, 0.10952220112085342]","[0.07077256590127945, 0.8923640847206116, -0.023750266060233116]","[-0.034686699509620667, 0.8842568397521973, -0.029363960027694702]"
"[-0.028095420449972153, -0.5868704915046692, -0.3942217230796814]","[-0.022451015189290047, -0.6251174807548523, -0.37661176919937134]","[-0.022094950079917908, -0.6255043745040894, -0.3759683072566986]","[-0.022089891135692596, -0.6259613633155823, -0.3759666979312897]","[-0.05519572272896767, -0.6203299164772034, -0.3799465000629425]","[-0.05482124164700508, -0.6213246583938599, -0.380683958530426]","[-0.05506996810436249, -0.6226103901863098, -0.37979912757873535]","[0.020935790613293648, -0.6089489459991455, -0.25781914591789246]","[-0.12435056269168854, -0.5996066927909851, -0.2824968993663788]","[-0.007406924851238728, -0.5611020922660828, -0.3521629571914673]","[-0.049809932708740234, -0.5570816397666931, -0.3582817614078522]","[0.11322842538356781, -0.43304598331451416, -0.15755301713943481]","[-0.18691223859786987, -0.41643691062927246, -0.19249121844768524]","[0.13129983842372894, -0.19303354620933533, -0.10066233575344086]","[-0.20258517563343048, -0.1647617220878601, -0.13020065426826477]","[0.1707497388124466, 0.030838001519441605, -0.18151593208312988]","[-0.23809020221233368, 0.06319080293178558, -0.2028135508298874]","[0.18078865110874176, 0.11063122004270554, -0.19948770105838776]","[-0.24457229673862457, 0.13872773945331573, -0.2273344248533249]","[0.17128098011016846, 0.12061859667301178, -0.2386423498392105]","[-0.23881599307060242, 0.13863316178321838, -0.2608071267604828]","[0.1643914431333542, 0.05041559040546417, -0.19684018194675446]","[-0.2289501279592514, 0.07971343398094177, -0.2187180072069168]","[0.11219505220651627, 0.00037041399627923965, 0.008322998881340027]","[-0.11261844635009766, -0.0010832592379301786, -0.006968218367546797]","[0.05186568573117256, 0.4278339147567749, -0.004357714671641588]","[-0.08081480860710144, 0.4032590985298157, -0.009528251364827156]","[0.059739623218774796, 0.7859246134757996, 0.10646048188209534]","[-0.04878227785229683, 0.7675676345825195, 0.11005298793315887]","[0.06306062638759613, 0.8302744030952454, 0.10715974122285843]","[-0.04366597905755043, 0.8141680955886841, 0.11146713048219681]","[0.07033479958772659, 0.8937123417854309, -0.025258533656597137]","[-0.04017043858766556, 0.8857606053352356, -0.02698347344994545]"
"[-0.028258349746465683, -0.5822968482971191, -0.3957677483558655]","[-0.022625254467129707, -0.6204290390014648, -0.3779045045375824]","[-0.022276731207966805, -0.6208245754241943, -0.3772512674331665]","[-0.022273153066635132, -0.6212819218635559, -0.37726181745529175]","[-0.05538157373666763, -0.6160823702812195, -0.3813939094543457]","[-0.055013928562402725, -0.61708003282547, -0.38214194774627686]","[-0.05526740476489067, -0.6183700561523438, -0.38126108050346375]","[0.020211810246109962, -0.6044803857803345, -0.25814273953437805]","[-0.12531661987304688, -0.5966718792915344, -0.28341418504714966]","[-0.007826301269233227, -0.5566495656967163, -0.3532745838165283]","[-0.05027255415916443, -0.5531377792358398, -0.35959672927856445]","[0.11041391640901566, -0.43044865131378174, -0.1582217961549759]","[-0.18726855516433716, -0.4135499596595764, -0.19270095229148865]","[0.1278899759054184, -0.19054323434829712, -0.10299091786146164]","[-0.20533521473407745, -0.160887211561203, -0.1301991492509842]","[0.16620944440364838, 0.03173084929585457, -0.18600891530513763]","[-0.2543194591999054, 0.06368216127157211, -0.20291446149349213]","[0.1763383448123932, 0.11117740720510483, -0.20467960834503174]","[-0.26407700777053833, 0.1387045532464981, -0.22745759785175323]","[0.1665038913488388, 0.12099627405405045, -0.24364402890205383]","[-0.2595880329608917, 0.13872036337852478, -0.26101741194725037]","[0.1597314327955246, 0.05114760249853134, -0.20154500007629395]","[-0.24635106325149536, 0.08011778444051743, -0.21895045042037964]","[0.11199812591075897, 0.00040934199932962656, 0.00787284318357706]","[-0.11241401731967926, -0.0011230370728299022, -0.006494182161986828]","[0.051549527794122696, 0.42905309796333313, -0.007525227032601833]","[-0.08308770507574081, 0.40404245257377625, -0.009398278780281544]","[0.05897722765803337, 0.7877321243286133, 0.10006435960531235]","[-0.050079889595508575, 0.7683644890785217, 0.1078329086303711]","[0.062215592712163925, 0.8320642709732056, 0.10062577575445175]","[-0.04490699991583824, 0.8149327635765076, 0.10902569442987442]","[0.06899996846914291, 0.8960909247398376, -0.03192702308297157]","[-0.04230683296918869, 0.8868834972381592, -0.02830209769308567]"
"[-0.028195194900035858, -0.5846670269966125, -0.3901357650756836]","[-0.02251596190035343, -0.6225903630256653, -0.37197843194007874]","[-0.022170599550008774, -0.6230051517486572, -0.37133973836898804]","[-0.022172318771481514, -0.6234733462333679, -0.37126556038856506]","[-0.05531105399131775, -0.6183671355247498, -0.374998539686203]","[-0.05494680628180504, -0.6193722486495972, -0.3757264018058777]","[-0.05520189180970192, -0.620671272277832, -0.37479013204574585]","[0.020821543410420418, -0.6059427857398987, -0.2518457770347595]","[-0.12513473629951477, -0.5988553762435913, -0.275138795375824]","[-0.007647010963410139, -0.558871328830719, -0.3475111722946167]","[-0.05017375573515892, -0.5555832386016846, -0.35313427448272705]","[0.11059781163930893, -0.43183937668800354, -0.15431620180606842]","[-0.1867016851902008, -0.41603565216064453, -0.18422161042690277]","[0.12843504548072815, -0.19216476380825043, -0.09889385849237442]","[-0.2066180557012558, -0.16590943932533264, -0.11939149349927902]","[0.1681251972913742, 0.029467063024640083, -0.1812198907136917]","[-0.26137393712997437, 0.05291147157549858, -0.19341698288917542]","[0.1789349466562271, 0.10954278707504272, -0.19921159744262695]","[-0.2713657021522522, 0.12567831575870514, -0.21783848106861115]","[0.16879460215568542, 0.11924796551465988, -0.2379927933216095]","[-0.2665412724018097, 0.12655580043792725, -0.2520603537559509]","[0.16174255311489105, 0.04887760430574417, -0.19660766422748566]","[-0.2534085512161255, 0.06930209696292877, -0.20999719202518463]","[0.11197948455810547, 0.0004933165037073195, 0.0077624511905014515]","[-0.11239229887723923, -0.0012068175710737705, -0.00637855427339673]","[0.052649155259132385, 0.42929837107658386, -0.009059115312993526]","[-0.08324680477380753, 0.40402650833129883, -0.010355047881603241]","[0.059163641184568405, 0.7867026925086975, 0.10312306135892868]","[-0.04993053153157234, 0.7677454352378845, 0.107089102268219]","[0.06238039210438728, 0.8309236764907837, 0.10415192693471909]","[-0.04471180960536003, 0.8142061233520508, 0.10856260359287262]","[0.07019717246294022, 0.8960736393928528, -0.028828823938965797]","[-0.04114632308483124, 0.8860070109367371, -0.028981676325201988]"
"[-0.028254495933651924, -0.5850957036018372, -0.3846950829029083]","[-0.02253151871263981, -0.622948944568634, -0.3666495084762573]","[-0.022187696769833565, -0.623374879360199, -0.36600783467292786]","[-0.022191081196069717, -0.6238477826118469, -0.3659108877182007]","[-0.05533432215452194, -0.618823766708374, -0.36909157037734985]","[-0.05497210845351219, -0.6198292970657349, -0.3698059320449829]","[-0.0552288219332695, -0.6211290955543518, -0.3688679039478302]","[0.02105993591248989, -0.6064132452011108, -0.24720436334609985]","[-0.12506245076656342, -0.5994190573692322, -0.26794207096099854]","[-0.007635149173438549, -0.5592142343521118, -0.34230148792266846]","[-0.05017632618546486, -0.5560950636863708, -0.34710729122161865]","[0.11110038310289383, -0.4320918023586273, -0.15124550461769104]","[-0.18624736368656158, -0.4167209267616272, -0.17728011310100555]","[0.13068825006484985, -0.1926489621400833, -0.096747487783432]","[-0.20671574771404266, -0.16800089180469513, -0.11158271878957748]","[0.17045824229717255, 0.027303898707032204, -0.17774300277233124]","[-0.26681455969810486, 0.04321875050663948, -0.18497923016548157]","[0.18114253878593445, 0.10701778531074524, -0.19507591426372528]","[-0.2778816223144531, 0.11321897059679031, -0.20879049599170685]","[0.1713857203722, 0.11619620025157928, -0.23322078585624695]","[-0.27506253123283386, 0.11359802633523941, -0.24331559240818024]","[0.16408182680606842, 0.04641975089907646, -0.19290564954280853]","[-0.25984737277030945, 0.05888112261891365, -0.20198820531368256]","[0.11195141077041626, 0.0005313429865054786, 0.00770607590675354]","[-0.11236002296209335, -0.001243029022589326, -0.006318110041320324]","[0.053389303386211395, 0.4293225109577179, -0.011154936626553535]","[-0.08348032832145691, 0.40371274948120117, -0.01160385925322771]","[0.05937223508954048, 0.785953938961029, 0.10404688119888306]","[-0.04981968179345131, 0.7667328119277954, 0.10669105499982834]","[0.06259585171937943, 0.8300871253013611, 0.10533212870359421]","[-0.04454594478011131, 0.8132824301719666, 0.10839947313070297]","[0.07109107077121735, 0.8957316279411316, -0.027993302792310715]","[-0.040207523852586746, 0.8857934474945068, -0.02956988476216793]"
"[-0.02834274061024189, -0.5854154825210571, -0.3873029947280884]","[-0.022616935893893242, -0.6233434081077576, -0.36960074305534363]","[-0.022279798984527588, -0.6237611174583435, -0.3689482808113098]","[-0.022285660728812218, -0.6242293119430542, -0.36889025568962097]","[-0.055450424551963806, -0.6190810799598694, -0.37154000997543335]","[-0.05509165674448013, -0.6200788021087646, -0.3722529411315918]","[-0.05534978583455086, -0.6213734149932861, -0.37133294343948364]","[0.021431760862469673, -0.6073572635650635, -0.2509370744228363]","[-0.12499000877141953, -0.5995920300483704, -0.2690960168838501]","[-0.007596621755510569, -0.5597267150878906, -0.34528848528862]","[-0.050165388733148575, -0.5563851594924927, -0.34933626651763916]","[0.11150401830673218, -0.4323415160179138, -0.15656213462352753]","[-0.18558365106582642, -0.41660618782043457, -0.17743143439292908]","[0.13357576727867126, -0.19380688667297363, -0.10668614506721497]","[-0.20679593086242676, -0.16842252016067505, -0.11211001127958298]","[0.1712561696767807, 0.024405520409345627, -0.18655145168304443]","[-0.2829408347606659, 0.02729371003806591, -0.18544483184814453]","[0.18216930329799652, 0.10454429686069489, -0.20473915338516235]","[-0.2974799573421478, 0.09209892898797989, -0.20890751481056213]","[0.1725616753101349, 0.1129574403166771, -0.24163685739040375]","[-0.3004562556743622, 0.09075628221035004, -0.24376101791858673]","[0.16512082517147064, 0.04319468513131142, -0.20113348960876465]","[-0.2791658937931061, 0.041267745196819305, -0.2025100290775299]","[0.1119093969464302, 0.0005477056838572025, 0.007018168922513723]","[-0.1123138889670372, -0.00125738640781492, -0.005640065297484398]","[0.05366552993655205, 0.42957961559295654, -0.011077862232923508]","[-0.08328592777252197, 0.4034622609615326, -0.008960633538663387]","[0.059365663677453995, 0.7856326699256897, 0.10499528050422668]","[-0.05018143728375435, 0.7655537724494934, 0.10968010872602463]","[0.06259358674287796, 0.8298001289367676, 0.10620659589767456]","[-0.04497573524713516, 0.8122576475143433, 0.11149906367063522]","[0.07084760814905167, 0.8957831859588623, -0.027796845883131027]","[-0.04063161462545395, 0.8854463696479797, -0.02522478625178337]"
"[-0.028271324932575226, -0.5857884883880615, -0.3840925991535187]","[-0.022385219112038612, -0.6237083077430725, -0.3670772314071655]","[-0.02205112762749195, -0.6241365671157837, -0.36640918254852295]","[-0.022060992196202278, -0.6246073246002197, -0.36632540822029114]","[-0.055289678275585175, -0.6196668744087219, -0.36783167719841003]","[-0.054933756589889526, -0.6206492781639099, -0.36856457591056824]","[-0.05518984794616699, -0.6219494342803955, -0.367595374584198]","[0.024079905822873116, -0.607830286026001, -0.24927502870559692]","[-0.12364307045936584, -0.601109504699707, -0.2620810866355896]","[-0.006979402620345354, -0.5601926445960999, -0.3421000838279724]","[-0.049788232892751694, -0.5570310354232788, -0.3444806635379791]","[0.11200305074453354, -0.43308791518211365, -0.15552817285060883]","[-0.1820751130580902, -0.4176277220249176, -0.16332411766052246]","[0.13561010360717773, -0.19389085471630096, -0.1060934066772461]","[-0.2032143473625183, -0.16989970207214355, -0.09756337106227875]","[0.16945558786392212, 0.02221999131143093, -0.18814045190811157]","[-0.2938627302646637, 0.005479589570313692, -0.17988643050193787]","[0.17795097827911377, 0.1030070036649704, -0.20835736393928528]","[-0.3125690519809723, 0.06466679275035858, -0.20359469950199127]","[0.1644214391708374, 0.10934507846832275, -0.2440154105424881]","[-0.3203097879886627, 0.060914047062397, -0.24008192121982574]","[0.16147997975349426, 0.03990759328007698, -0.20229952037334442]","[-0.29264578223228455, 0.01722121052443981, -0.19826029241085052]","[0.11189445853233337, 0.0005751674179919064, 0.006175451446324587]","[-0.1122889444231987, -0.0012819606345146894, -0.00479503208771348]","[0.05438854172825813, 0.4296238422393799, -0.014089391566812992]","[-0.08360827714204788, 0.4035164713859558, -0.009289179928600788]","[0.05949391424655914, 0.7853209972381592, 0.10580983012914658]","[-0.053750209510326385, 0.7657961249351501, 0.11017745733261108]","[0.06272398680448532, 0.8295469880104065, 0.10724259167909622]","[-0.04856685549020767, 0.8125507831573486, 0.11209703981876373]","[0.07082657516002655, 0.8955330848693848, -0.02654179185628891]","[-0.044754378497600555, 0.8853365182876587, -0.02499580755829811]"
"[-0.02801404893398285, -0.5853935480117798, -0.38341066241264343]","[-0.021740369498729706, -0.6233057379722595, -0.36635375022888184]","[-0.021413037553429604, -0.6237419843673706, -0.3656906485557556]","[-0.021428627893328667, -0.6242029070854187, -0.36563271284103394]","[-0.05483907461166382, -0.6194801330566406, -0.36728546023368835]","[-0.05448457598686218, -0.6204355359077454, -0.3680194914340973]","[-0.05473610758781433, -0.621735155582428, -0.3670831322669983]","[0.025576384738087654, -0.6081836819648743, -0.24875786900520325]","[-0.12345819175243378, -0.6012462973594666, -0.2614392638206482]","[-0.006667059380561113, -0.5601762533187866, -0.34179776906967163]","[-0.04970778897404671, -0.557034969329834, -0.3442798852920532]","[0.11251357942819595, -0.4332154095172882, -0.15501879155635834]","[-0.18198314309120178, -0.41874900460243225, -0.16146738827228546]","[0.1357847899198532, -0.19444361329078674, -0.10516679286956787]","[-0.20175263285636902, -0.17523321509361267, -0.09890124201774597]","[0.16842804849147797, 0.0162005964666605, -0.18837174773216248]","[-0.2989538013935089, -0.02363937348127365, -0.20402128994464874]","[0.17672139406204224, 0.09693887829780579, -0.20875321328639984]","[-0.3180861473083496, 0.029613057151436806, -0.23179484903812408]","[0.1636677086353302, 0.10130870342254639, -0.24469497799873352]","[-0.3269919157028198, 0.02470431663095951, -0.2690040171146393]","[0.16022661328315735, 0.03256286680698395, -0.2025718241930008]","[-0.29865315556526184, -0.013451489619910717, -0.22389838099479675]","[0.11201765388250351, 0.0005796171026304364, 0.006056342739611864]","[-0.11238881945610046, -0.0012858322588726878, -0.004675666335970163]","[0.05519886687397957, 0.4311690926551819, -0.013971873559057713]","[-0.08738428354263306, 0.41065576672554016, -0.014314725063741207]","[0.05957600474357605, 0.7842622399330139, 0.12277673929929733]","[-0.06728913635015488, 0.7656130790710449, 0.12489413470029831]","[0.06285080313682556, 0.8287846446037292, 0.12686190009117126]","[-0.06333422660827637, 0.8123278617858887, 0.13047680258750916]","[0.07127358019351959, 0.8965885639190674, -0.0009100773022510111]","[-0.06825525313615799, 0.8849468231201172, -0.0007279019337147474]"
